metric	prcp	t2m	u10m	v10m	q2m	mswdnb
RMSE	8.70351	0.58284	0.47578	0.53412	0.00069	45.69449
MAE	4.56379	0.46508	0.35222	0.40034	0.00056	35.16943
CRPS	4.15747	0.36325	0.27469	0.30660	0.00047	30.09515
STD_DEV	1.13523	0.27648	0.22805	0.29916	0.00020	12.01994
