month	prcp	t2m	u10m	v10m
1	0.48	0.98	0.93	0.95
2	0.49	0.98	0.92	0.94
3	0.38	0.98	0.91	0.92
4	0.31	0.97	0.89	0.90
5	0.30	0.97	0.84	0.85
6	0.33	0.97	0.83	0.85
7	0.27	0.98	0.86	0.88
8	0.30	0.98	0.83	0.84
9	0.31	0.98	0.84	0.85
10	0.42	0.98	0.92	0.94
11	0.44	0.98	0.94	0.96
12	0.51	0.98	0.93	0.95
