metric	prcp	t2m	u10m	v10m
RMSE	17.89	2.13	1.36	1.58
MAE	10.32	1.84	0.95	1.14
CORR	0.13	0.96	0.44	0.44
CRPS	9.85	1.68	0.85	1.02
STD_DEV	1.26	0.32	0.23	0.26
