metric	prcp	t2m	u10m	v10m
RMSE	11.57	0.93	0.54	0.57
MAE	6.08	0.76	0.42	0.44
CORR	0.39	0.98	0.89	0.91
CRPS	5.54	0.62	0.32	0.34
STD_DEV	1.44	0.36	0.27	0.31
