metric	prcp	t2m	u10m	v10m
RMSE	13.40	0.70	1.22	1.43
MAE	6.11	0.54	0.93	1.10
CORR	0.22	0.97	0.89	0.88
CRPS	5.67	0.48	0.85	0.99
STD_DEV	1.28	0.15	0.17	0.22
