month	prcp	t2m	u10m	v10m
1	0.032	0.003	0.002	0.004
2	0.023	-0.004	0.003	0.006
3	0.024	-0.002	0.002	0.003
4	0.023	-0.004	0.002	0.005
5	0.020	-0.006	0.001	0.005
6	0.028	-0.002	0.001	0.003
7	0.022	-0.002	0.002	0.005
8	-0.008	0.001	0.002	0.003
9	-0.002	0.002	0.003	0.005
10	0.004	0.002	0.002	0.005
11	0.022	0.004	0.002	0.004
12	0.022	0.004	-0.000	0.002
