month	pr	tas	uas	vas
1	-0.336	-0.195	-0.103	-0.180
2	-0.250	-0.291	-0.107	-0.176
3	-0.331	-0.226	-0.104	-0.153
4	-0.331	-0.284	-0.099	-0.143
5	-0.458	-0.171	-0.099	-0.127
6	-0.679	-0.142	-0.092	-0.154
7	-0.605	-0.188	-0.102	-0.169
8	-0.268	-0.182	-0.113	-0.168
9	-0.372	-0.221	-0.102	-0.166
10	-0.205	-0.216	-0.104	-0.155
11	-0.267	-0.223	-0.104	-0.150
12	-0.206	-0.320	-0.094	-0.158
