month	prcp	t2m	u10m	v10m
1	3.06	2.67	0.80	0.95
2	3.91	2.62	0.86	1.04
3	4.90	2.38	0.93	1.14
4	5.55	1.99	0.94	1.11
5	10.19	1.43	0.92	1.05
6	14.19	1.19	0.98	1.03
7	13.58	1.07	0.97	1.06
8	18.35	1.10	1.05	1.09
9	14.27	1.10	0.90	0.98
10	8.23	1.54	0.80	0.91
11	3.63	1.85	0.79	0.87
12	3.02	2.38	0.80	0.91
