metric	prcp	t2m	u10m	v10m
RMSE	8.44	0.58	0.48	0.55
MAE	4.33	0.46	0.35	0.41
CRPS	4.33	0.46	0.35	0.41
STD_DEV	0.00	0.00	0.00	0.00
