metric	prcp	t2m	u10m	v10m
RMSE	11.12	0.81	0.44	0.48
MAE	5.69	0.66	0.33	0.36
CORR	0.41	0.98	0.91	0.92
CRPS	5.01	0.51	0.24	0.26
STD_DEV	2.06	0.40	0.29	0.33
