metric	prcp	t2m	u10m	v10m
RMSE	12.13	0.98	0.57	0.60
MAE	6.45	0.81	0.45	0.47
CORR	0.38	0.98	0.89	0.90
CRPS	5.87	0.66	0.35	0.36
STD_DEV	1.52	0.36	0.27	0.30
