metric	prcp	t2m	u10m	v10m
RMSE	13.88	1.09	0.66	0.67
MAE	7.78	0.89	0.51	0.51
CORR	0.27	0.98	0.86	0.87
CRPS	7.33	0.76	0.42	0.41
STD_DEV	1.24	0.32	0.23	0.27
