metric	prcp	t2m	u10m	v10m
RMSE	11.08	0.93	0.51	0.54
MAE	5.79	0.76	0.39	0.41
CORR	0.39	0.98	0.89	0.91
CRPS	5.26	0.61	0.29	0.31
STD_DEV	1.45	0.37	0.27	0.31
