metric	prcp	t2m	u10m	v10m
RMSE	12.12	0.98	0.53	0.57
MAE	6.41	0.81	0.41	0.44
CORR	0.38	0.98	0.89	0.90
CRPS	5.84	0.65	0.31	0.33
STD_DEV	1.54	0.38	0.28	0.32
