metric	prcp	t2m	u10m	v10m
RMSE	0.030	0.004	0.021	0.004
MAE	0.054	0.003	0.022	0.011
CORR	-0.009	-0.000	-0.006	-0.002
CRPS	-0.509	-0.177	-0.102	-0.129
STD_DEV	1.574	0.375	0.275	0.314
