metric	prcp	t2m	u10m	v10m
RMSE	12.23	1.10	0.61	0.66
MAE	6.39	0.90	0.47	0.51
CORR	0.31	0.97	0.86	0.88
CRPS	5.91	0.75	0.37	0.39
STD_DEV	1.28	0.34	0.26	0.31
