metric	prcp	t2m	u10m	v10m
RMSE	12.13	0.99	0.54	0.58
MAE	6.43	0.81	0.41	0.44
CORR	0.38	0.98	0.89	0.90
CRPS	5.87	0.66	0.32	0.34
STD_DEV	1.46	0.37	0.27	0.30
