year_bin	prcp	t2m
2015-2024	12.38	3.00
2025-2034	12.69	2.97
2035-2044	13.32	2.94
2045-2054	14.28	2.98
2055-2064	12.96	3.00
2065-2074	12.84	2.97
2075-2080	13.55	3.00
