year_bin	prcp	t2m
2015-2024	7.29	2.62
2025-2034	7.57	2.61
2035-2044	7.94	2.58
2045-2054	8.72	2.62
2055-2064	7.58	2.63
2065-2074	7.42	2.61
2075-2080	8.00	2.64
