year_bin	prcp	t2m	u10m	v10m
2015-2024	0.41	0.99	0.92	0.92
2025-2034	0.40	0.99	0.92	0.92
2035-2044	0.41	0.99	0.92	0.92
2045-2054	0.40	0.99	0.92	0.92
2055-2064	0.38	0.99	0.92	0.92
2065-2074	0.39	0.99	0.92	0.91
2075-2080	0.37	0.99	0.92	0.91
