month	prcp	t2m	u10m	v10m
1	0.34	0.97	0.65	0.76
2	0.30	0.97	0.56	0.63
3	0.24	0.96	0.47	0.42
4	0.16	0.97	0.36	0.25
5	0.13	0.98	0.32	0.22
6	0.12	0.98	0.35	0.39
7	0.12	0.98	0.35	0.31
8	0.13	0.98	0.24	0.24
9	0.16	0.98	0.38	0.35
10	0.28	0.98	0.67	0.74
11	0.35	0.98	0.74	0.82
12	0.36	0.97	0.69	0.79
