year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.496	-0.153	-0.098	-0.129
2025-2034	-0.524	-0.155	-0.099	-0.129
2035-2044	-0.530	-0.156	-0.099	-0.131
2045-2054	-0.525	-0.157	-0.099	-0.132
2055-2064	-0.533	-0.156	-0.099	-0.130
2065-2074	-0.546	-0.156	-0.099	-0.127
2075-2080	-0.533	-0.157	-0.099	-0.129
