year_bin	prcp	t2m	u10m	v10m
2015-2024	0.032	-0.006	-0.006	-0.029
2025-2034	0.024	-0.007	-0.005	-0.028
2035-2044	0.026	-0.008	-0.006	-0.029
2045-2054	0.024	-0.009	-0.007	-0.031
2055-2064	0.033	-0.006	-0.005	-0.028
2065-2074	0.019	-0.005	-0.005	-0.024
2075-2080	0.028	-0.004	-0.005	-0.025
