metric	prcp	t2m	u10m	v10m
RMSE	0.019	-0.021	-0.015	-0.044
MAE	0.014	-0.013	-0.008	-0.033
CORR	-0.003	0.002	0.014	0.015
CRPS	-0.559	-0.169	-0.106	-0.140
STD_DEV	1.539	0.382	0.276	0.315
