month	prcp	t2m	u10m	v10m
1	2.10	0.29	0.50	0.56
2	1.94	0.29	0.48	0.55
3	1.93	0.31	0.50	0.58
4	2.49	0.29	0.46	0.62
5	3.78	0.35	0.58	0.64
6	6.16	0.28	0.58	0.74
7	5.59	0.27	0.57	0.65
8	6.89	0.31	0.74	0.79
9	6.92	0.26	0.63	0.77
10	6.60	0.26	0.59	0.74
11	1.49	0.24	0.43	0.53
12	2.28	0.34	0.51	0.65
