metric	prcp	t2m	u10m	v10m
RMSE	8.68	0.39	0.73	0.87
MAE	4.03	0.29	0.55	0.65
CRPS	4.03	0.29	0.55	0.65
STD_DEV	0.00	0.00	0.00	0.00
