metric	prcp	t2m	u10m	v10m
RMSE	8.60	0.38	0.73	0.87
CRPS	4.07	0.28	0.55	0.65
MAE	4.07	0.28	0.55	0.65
STD_DEV	0.00	0.00	0.00	0.00
