metric	prcp	t2m	u10m	v10m
RMSE	0.023	-0.020	-0.017	-0.005
MAE	0.043	-0.014	-0.012	0.004
CORR	0.001	0.002	0.009	0.014
CRPS	-0.513	-0.145	-0.114	-0.117
STD_DEV	1.403	0.302	0.245	0.288
