metric	prcp	t2m	u10m	v10m
RMSE	10.69	0.82	0.44	0.47
MAE	5.44	0.66	0.33	0.36
CORR	0.40	0.98	0.91	0.92
CRPS	4.79	0.51	0.25	0.26
STD_DEV	1.95	0.40	0.29	0.32
