metric	prcp	t2m	u10m	v10m
RMSE	10.68	0.83	0.47	0.51
MAE	5.42	0.67	0.35	0.39
CORR	0.41	0.98	0.90	0.91
CRPS	5.42	0.67	0.35	0.39
STD_DEV	0.00	0.00	0.00	0.00
