year_bin	prcp	t2m	u10m	v10m
2015-2024	5.12	0.49	0.82	0.96
2025-2034	5.70	0.48	0.84	0.99
2035-2044	5.55	0.47	0.84	0.99
2045-2054	5.47	0.46	0.85	0.99
2055-2064	5.50	0.47	0.84	0.98
2065-2074	6.28	0.48	0.88	1.02
2075-2080	6.33	0.48	0.88	1.04
