year_bin	prcp	t2m	u10m	v10m
2015-2024	5.55	0.56	0.90	1.06
2025-2034	6.15	0.55	0.92	1.09
2035-2044	5.99	0.53	0.93	1.09
2045-2054	5.88	0.53	0.93	1.09
2055-2064	5.93	0.54	0.92	1.08
2065-2074	6.76	0.55	0.97	1.12
2075-2080	6.78	0.55	0.96	1.14
