year_bin	prcp	t2m	u10m	v10m
2015-2024	0.23	0.98	0.89	0.89
2025-2034	0.23	0.98	0.89	0.88
2035-2044	0.23	0.98	0.89	0.88
2045-2054	0.22	0.98	0.89	0.88
2055-2064	0.22	0.97	0.89	0.88
2065-2074	0.23	0.97	0.88	0.87
2075-2080	0.22	0.97	0.88	0.87
