year_bin	prcp	t2m	u10m	v10m
2015-2024	5.73	0.51	0.27	0.28
2025-2034	5.67	0.51	0.27	0.29
2035-2044	6.21	0.52	0.28	0.30
2045-2054	6.32	0.54	0.29	0.31
2055-2064	7.11	0.58	0.32	0.35
2065-2074	7.31	0.60	0.33	0.37
2075-2080	6.99	0.62	0.34	0.38
