year_bin	prcp	t2m	u10m	v10m
2015-2024	4.98	0.63	0.32	0.33
2025-2034	5.40	0.62	0.32	0.33
2035-2044	5.58	0.62	0.32	0.34
2045-2054	5.42	0.61	0.32	0.34
2055-2064	5.43	0.61	0.32	0.34
2065-2074	6.12	0.63	0.33	0.34
2075-2080	6.06	0.61	0.32	0.35
