year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.002	0.002	0.013	0.013
2025-2034	-0.005	0.002	0.013	0.014
2035-2044	-0.003	0.002	0.013	0.014
2045-2054	-0.003	0.002	0.013	0.013
2055-2064	-0.004	0.002	0.012	0.014
2065-2074	-0.005	0.002	0.013	0.014
2075-2080	-0.006	0.002	0.012	0.013
