year_bin	prcp	t2m	u10m	v10m
2015-2024	0.029	-0.015	-0.003	-0.030
2025-2034	0.036	-0.017	-0.002	-0.029
2035-2044	0.025	-0.015	-0.003	-0.029
2045-2054	0.028	-0.014	-0.002	-0.028
2055-2064	0.029	-0.015	-0.002	-0.027
2065-2074	0.031	-0.015	-0.002	-0.027
2075-2080	0.035	-0.015	-0.004	-0.027
