metric	prcp	t2m	u10m	v10m
RMSE	13.81	1.19	0.66	0.73
MAE	7.35	0.98	0.52	0.56
CORR	0.26	0.97	0.84	0.86
CRPS	6.89	0.85	0.43	0.46
STD_DEV	1.22	0.30	0.24	0.28
