metric	prcp	t2m	u10m	v10m
RMSE	12.10	1.00	0.55	0.61
MAE	6.40	0.82	0.42	0.47
CORR	0.38	0.98	0.87	0.89
CRPS	6.40	0.82	0.42	0.47
STD_DEV	0.00	0.00	0.00	0.00
