month	prcp	t2m	u10m	v10m
1	0.006	0.001	0.006	0.016
2	0.008	0.001	0.010	0.017
3	0.015	0.002	0.011	0.016
4	0.002	0.002	0.006	0.011
5	0.001	0.001	0.007	0.010
6	-0.001	0.001	0.010	0.011
7	-0.003	0.001	0.009	0.013
8	-0.000	0.001	0.010	0.011
9	-0.004	0.001	0.008	0.011
10	0.000	0.003	0.011	0.016
11	-0.008	0.002	0.009	0.016
12	-0.003	0.003	0.007	0.016
