month	prcp	t2m	u10m	v10m
1	-0.315	-0.145	-0.093	-0.105
2	-0.300	-0.154	-0.089	-0.111
3	-0.330	-0.162	-0.096	-0.119
4	-0.372	-0.146	-0.093	-0.109
5	-0.443	-0.142	-0.097	-0.105
6	-0.579	-0.166	-0.106	-0.125
7	-0.494	-0.174	-0.095	-0.119
8	-0.603	-0.153	-0.098	-0.114
9	-0.589	-0.160	-0.095	-0.111
10	-0.432	-0.166	-0.100	-0.099
11	-0.355	-0.170	-0.096	-0.111
12	-0.354	-0.181	-0.099	-0.127
