metric	prcp	t2m	u10m	v10m
RMSE	8.37	0.55	0.44	0.50
MAE	4.26	0.44	0.32	0.37
CRPS	4.26	0.44	0.32	0.37
STD_DEV	0.00	0.00	0.00	0.00
