month	prcp	t2m	u10m	v10m
1	2.41	2.47	0.82	0.97
2	3.28	2.46	0.93	1.09
3	4.60	2.45	1.03	1.24
4	5.88	2.14	1.04	1.22
5	9.81	1.59	0.93	1.08
6	13.61	1.23	0.84	0.95
7	10.03	1.03	0.90	0.97
8	13.34	1.08	0.97	1.01
9	10.11	1.08	0.81	0.94
10	4.56	1.37	0.68	0.86
11	2.25	1.73	0.71	0.86
12	2.34	2.21	0.78	0.91
