metric	prcp	t2m	u10m	v10m
RMSE	8.74	0.58	0.50	0.60
MAE	4.60	0.46	0.38	0.45
CORR	0.45	0.99	0.92	0.93
CRPS	4.60	0.46	0.38	0.45
STD_DEV	0.00	0.00	0.00	0.00
