month	prcp	t2m	u10m	v10m
1	0.005	-0.034	-0.018	-0.041
2	-0.073	-0.030	-0.017	-0.043
3	-0.035	-0.031	-0.018	-0.020
4	-0.047	-0.022	-0.015	-0.013
5	-0.002	-0.019	-0.011	-0.023
6	0.061	-0.026	-0.013	-0.029
7	0.045	-0.035	-0.023	-0.034
8	0.007	-0.025	-0.016	-0.016
9	-0.036	-0.031	-0.015	-0.015
10	-0.004	-0.030	-0.012	-0.028
11	-0.030	-0.054	-0.018	-0.033
12	-0.081	-0.031	-0.013	-0.034
