month	prcp	t2m	u10m	v10m
1	0.216	0.035	0.033	0.042
2	0.185	0.031	0.028	0.045
3	0.227	0.032	0.029	0.037
4	0.226	0.031	0.031	0.041
5	0.229	0.031	0.026	0.043
6	0.274	0.038	0.031	0.050
7	0.279	0.042	0.031	0.050
8	0.305	0.036	0.028	0.045
9	0.285	0.042	0.034	0.046
10	0.234	0.037	0.030	0.043
11	0.220	0.032	0.033	0.045
12	0.195	0.028	0.031	0.045
