year_bin	prcp	t2m	u10m	v10m
2015-2024	0.001	0.004	0.001	-0.005
2025-2034	0.102	0.032	0.036	0.030
2035-2044	0.070	0.037	0.034	0.032
2045-2054	0.097	0.033	0.037	0.033
2055-2064	0.112	0.033	0.037	0.033
2065-2074	0.105	0.036	0.039	0.033
2075-2080	0.087	0.040	0.037	0.032
