metric	prcp	t2m	u10m	v10m
RMSE	12.63	1.00	0.58	0.60
MAE	6.97	0.81	0.43	0.46
CORR	0.29	0.98	0.87	0.88
CRPS	6.54	0.68	0.35	0.37
STD_DEV	1.16	0.32	0.23	0.26
