metric	prcp	t2m	u10m	v10m
RMSE	14.01	1.14	0.78	0.84
MAE	7.77	0.94	0.65	0.69
CORR	0.29	0.97	0.85	0.86
CRPS	7.29	0.82	0.55	0.58
STD_DEV	1.20	0.28	0.23	0.27
