month	prcp	t2m	u10m	v10m
1	1.59	0.47	0.21	0.22
2	2.04	0.49	0.23	0.24
3	3.10	0.52	0.26	0.27
4	4.19	0.54	0.26	0.28
5	7.66	0.58	0.27	0.30
6	10.94	0.61	0.29	0.33
7	7.85	0.53	0.26	0.29
8	8.96	0.53	0.27	0.30
9	7.26	0.51	0.25	0.27
10	3.45	0.45	0.22	0.24
11	1.47	0.44	0.20	0.20
12	1.46	0.47	0.20	0.21
