year_bin	prcp	t2m	u10m	v10m
2015-2024	0.32	0.96	0.67	0.69
2025-2034	0.22	0.93	0.41	0.42
2035-2044	0.21	0.93	0.41	0.43
2045-2054	0.20	0.93	0.41	0.42
2055-2064	0.20	0.93	0.41	0.43
2065-2074	0.20	0.92	0.40	0.41
2075-2080	0.19	0.93	0.41	0.41
