year_bin	prcp	t2m	u10m	v10m
2015-2024	11.79	1.55	0.89	1.02
2025-2034	13.00	2.22	1.36	1.60
2035-2044	14.02	2.25	1.35	1.60
2045-2054	13.11	2.22	1.36	1.62
2055-2064	13.65	2.21	1.34	1.57
2065-2074	14.30	2.24	1.40	1.61
2075-2080	16.05	2.16	1.39	1.64
