year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.021	0.001	-0.000	0.001
2025-2034	-0.020	0.001	0.000	0.001
2035-2044	-0.019	0.001	-0.000	0.001
2045-2054	-0.022	0.001	-0.000	0.001
2055-2064	-0.021	0.001	-0.000	0.001
2065-2074	-0.019	0.001	0.000	0.001
2075-2080	-0.020	0.001	-0.000	0.001
