year_bin	prcp	t2m	u10m	v10m
2015-2024	10.76	1.01	0.57	0.62
2025-2034	11.14	1.01	0.57	0.63
2035-2044	11.84	0.98	0.57	0.63
2045-2054	11.99	0.97	0.57	0.63
2055-2064	12.92	1.00	0.58	0.64
2065-2074	13.31	1.00	0.58	0.64
2075-2080	13.16	1.03	0.58	0.65
