month	prcp	t2m	u10m	v10m
1	1.23	0.50	0.33	0.41
2	0.92	0.46	0.34	0.40
3	1.33	0.51	0.33	0.40
4	2.48	0.49	0.34	0.42
5	4.91	0.54	0.40	0.46
6	6.98	0.39	0.33	0.40
7	8.76	0.43	0.38	0.44
8	9.83	0.45	0.44	0.45
9	8.89	0.40	0.38	0.44
10	5.69	0.41	0.36	0.43
11	0.84	0.41	0.30	0.37
12	1.34	0.51	0.33	0.42
