metric	prcp	t2m	u10m	v10m
RMSE	0.000	-0.096	-0.026	-0.081
MAE	0.022	-0.087	-0.014	-0.059
CORR	-0.013	0.003	0.012	0.017
CRPS	-0.410	-0.215	-0.103	-0.159
STD_DEV	1.144	0.303	0.237	0.279
