year_bin	prcp	t2m	u10m	v10m
2015-2024	-1.068	-0.287	-0.173	-0.181
2025-2034	-1.095	-0.280	-0.175	-0.184
2035-2044	-1.172	-0.281	-0.181	-0.188
2045-2054	-1.105	-0.282	-0.178	-0.186
2055-2064	-1.167	-0.281	-0.177	-0.187
2065-2074	-1.163	-0.285	-0.181	-0.191
2075-2080	-1.228	-0.288	-0.183	-0.194
