metric	prcp	t2m	u10m	v10m
RMSE	12.12	0.97	0.57	0.60
MAE	6.43	0.80	0.45	0.46
CORR	0.38	0.98	0.89	0.90
CRPS	5.84	0.65	0.35	0.35
STD_DEV	1.60	0.37	0.28	0.32
