year_bin	prcp	t2m	u10m	v10m
2015-2024	-0.011	0.001	0.011	0.011
2025-2034	-0.009	0.001	0.010	0.010
2035-2044	-0.006	0.001	0.010	0.011
2045-2054	-0.009	0.001	0.010	0.010
2055-2064	-0.008	0.001	0.010	0.010
2065-2074	-0.007	0.001	0.010	0.010
2075-2080	-0.004	0.001	0.011	0.010
