metric	prcp	t2m	u10m	v10m
RMSE	11.55	0.92	0.53	0.57
MAE	6.07	0.75	0.41	0.43
CORR	0.39	0.98	0.89	0.91
CRPS	5.51	0.61	0.31	0.33
STD_DEV	1.52	0.37	0.28	0.32
