metric	prcp	t2m	u10m	v10m
RMSE	0.185	0.000	0.025	0.035
MAE	0.142	0.002	0.022	0.031
CRPS	0.142	0.002	0.022	0.031
STD_DEV	0.000	0.000	0.000	0.000
