month	prcp	t2m	u10m	v10m
1	0.079	-0.022	0.014	0.027
2	0.051	-0.003	0.007	0.027
3	0.068	-0.002	0.018	0.028
4	0.128	0.014	0.019	0.030
5	0.145	0.022	0.013	0.033
6	0.308	0.027	0.033	0.035
7	0.282	-0.002	0.020	0.021
8	0.330	0.004	0.033	0.036
9	0.196	0.001	0.024	0.046
10	0.018	0.017	0.026	0.040
11	0.076	-0.018	0.025	0.024
12	0.021	-0.015	0.029	0.027
