year_bin	prcp	t2m	u10m	v10m
2015-2024	5.47	0.79	0.41	0.46
2025-2034	5.91	0.78	0.42	0.47
2035-2044	6.10	0.78	0.42	0.47
2045-2054	5.90	0.77	0.41	0.47
2055-2064	5.93	0.77	0.41	0.47
2065-2074	6.68	0.78	0.43	0.48
2075-2080	6.58	0.77	0.42	0.48
