year_bin	prcp	t2m	u10m	v10m
2015-2024	10.43	0.97	0.54	0.60
2025-2034	11.29	0.95	0.54	0.61
2035-2044	11.69	0.95	0.55	0.61
2045-2054	11.38	0.94	0.54	0.61
2055-2064	11.33	0.94	0.54	0.61
2065-2074	12.58	0.96	0.56	0.62
2075-2080	12.45	0.94	0.55	0.62
